batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
153,CrackIVF,16,2432,16,1428,100,10,42,99999,3218.407620996004,8.207097998820245,1.5523250040132552,6.65477299480699,0.0,0.00014001852832734585,0.0,0.0,0.0,0.0,1.549206004710868,1,1.0,0.98125,0.89625
154,CrackIVF,16,2448,16,1428,100,10,42,99999,3227.3938359867316,8.986214990727603,1.3767359778285027,7.609479012899101,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.374215993564576,1,0.875,0.85625,0.813125
155,CrackIVF,16,2464,16,1428,100,10,42,99999,3236.9164689735044,9.522632986772805,1.5757550136186182,7.946877973154187,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.572334993397817,1,0.9375,0.9125,0.8325
156,CrackIVF,16,2480,16,1428,100,10,42,99999,3247.0303309964947,10.11386202299036,1.4548760082107037,8.658986014779657,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.451906020520255,1,0.75,0.83125,0.80375
157,CrackIVF,16,2496,16,1428,100,10,42,99999,3256.1484659963753,9.118134999880567,1.5537560102529824,7.564378989627585,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.5505559858866036,1,1.0,0.925,0.875
158,CrackIVF,16,2512,16,1428,100,10,42,99999,3266.161428997293,10.012963000917807,1.5796860097907484,8.433276991127059,0.0,0.00014001852832734585,0.0,0.0,0.0,0.0,1.5763560077175498,1,0.9375,0.88125,0.85375
159,CrackIVF,16,2528,16,1428,100,10,42,99999,3277.648857969325,11.487428972031921,1.6438659804407507,9.84356299159117,0.0,0.00015998375602066517,0.0,0.0,0.0,0.0,1.6404160123784095,1,0.875,0.81875,0.786875
160,CrackIVF,16,2544,16,1428,100,10,42,99999,3289.707734977128,12.058877007802948,1.5942650206852704,10.464611987117678,0.0,0.00012898817658424377,0.0,0.0,0.0,0.0,1.5911860100459307,1,0.9375,0.875,0.810625
161,CrackIVF,16,2560,16,1428,100,10,42,99999,3299.8764969815966,10.16876200446859,1.6763749881647527,8.492387016303837,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.6729659982956946,1,0.8125,0.85,0.84
162,CrackIVF,16,2576,16,1428,100,10,42,99999,3310.055408976041,10.178911994444206,1.5103859768714756,8.66852601757273,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.507166016381234,1,0.875,0.90625,0.81875
163,CrackIVF,16,2592,16,1428,100,10,42,99999,3319.6808729553595,9.625463979318738,1.3336759875528514,8.291787991765887,0.0,0.0001200241968035698,0.0,0.0,0.0,0.0,1.3307860062923282,1,1.0,0.9875,0.945625
