algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
faiss-ivf,"FaissIVF(n_list=64, n_probe=1)",10,0.6277999999999999,0.71446,0.98932,0.09196390112826373,818.2675425825785,1.210331916809082,2.196621894836425,2.5756502151489262,3.559595823287965,18252.5616,2.0550167560577393,10.0,720624.0,880.6703950710297,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=32, n_probe=5)",10,0.9849,0.99644,1.0,0.08941034381925703,64.6704480954535,16.986370086669922,22.802352905273438,23.07654857635498,23.82174563407945,179397.4853,1.5281593799591064,10.0,717156.0,11089.39277707615,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=10, pruning_mult=0.50, pruning_prob=1.000, epsilon=0.100, leaf_size=24)",10,0.39364,0.46346,0.94848,0.09457374266958185,1013.8742771955689,1.0170936584472656,1.142752170562744,2.0017647743225098,2.085209608078003,0.0,369.6989486217499,10.0,2111120.0,2082.2305560798645,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=40, pruning_mult=1.00, pruning_prob=1.000, epsilon=0.160, leaf_size=36)",10,0.9451,0.9905099999999999,1.0,0.0895028944617945,944.6350218702967,1.0350942611694336,1.8530011177062986,2.196791172027588,2.4435639381408714,0.0,1179.7516651153564,10.0,2268660.0,2401.6259692640306,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=40, pruning_mult=1.00, pruning_prob=0.000, epsilon=0.200, leaf_size=36)",10,0.95787,0.99246,0.9997999999999999,0.08952571135261013,763.9111265298834,1.2650489807128906,1.905691623687744,2.398500442504883,3.1006641387939515,0.0,1217.2348673343658,10.0,2269596.0,2971.0210012384414,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=40, pruning_mult=2.00, pruning_prob=1.000, epsilon=0.020, leaf_size=36)",10,0.71804,0.8205600000000001,0.99962,0.09064430320751665,595.9738504378314,1.7087459564208984,1.8258213996887205,1.878979206085205,2.0298979282379155,0.0,1725.260529756546,10.0,2581636.0,4331.794084762955,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=20, pruning_mult=0.75, pruning_prob=1.000, epsilon=0.000, leaf_size=24)",10,0.53951,0.62501,0.98619,0.09245353691084947,1069.417612495522,0.9307861328125,0.9908676147460938,1.045231819152832,1.174934864044191,0.0,583.412757396698,10.0,2324300.0,2173.4259589910507,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=60, pruning_mult=2.00, pruning_prob=0.000, epsilon=0.160, leaf_size=48)",10,0.9982599999999999,0.99993,1.0,0.08935775380866405,395.86000463879566,2.437114715576172,3.712892532348633,4.389533996582031,5.331044912338258,0.0,2936.2787618637085,10.0,2932680.0,7408.376612019539,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=20, pruning_mult=1.50, pruning_prob=1.000, epsilon=0.080, leaf_size=24)",10,0.74666,0.8531599999999999,0.99983,0.09045897372338495,1151.9359594196387,0.8873939514160156,0.9567737579345703,0.9913468360900879,1.0738451480865494,0.0,580.2559478282928,10.0,2442000.0,2119.909514093399,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=40, pruning_mult=1.00, pruning_prob=0.000, epsilon=0.000, leaf_size=36)",10,0.68209,0.7759400000000001,0.99535,0.09128911711903216,1097.8222476111205,0.92315673828125,1.004934310913086,1.0654926300048828,1.2285809516906758,0.0,1217.2348673343658,10.0,2269596.0,2067.362002308369,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=40, pruning_mult=1.00, pruning_prob=1.000, epsilon=0.040, leaf_size=36)",10,0.75754,0.86089,0.99963,0.09039300548242779,1073.8366377616292,0.9313821792602539,1.0132908821105955,1.0838532447814941,1.2259485721588135,0.0,1179.7516651153564,10.0,2268660.0,2112.6677189269067,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=40, pruning_mult=2.00, pruning_prob=1.000, epsilon=0.000, leaf_size=36)",10,0.6513899999999999,0.7501800000000001,0.9981,0.09118106527408457,583.6118124543391,1.7251968383789062,1.8138885498046875,1.8615794181823733,1.955041170120241,0.0,1725.260529756546,10.0,2581636.0,4423.549943485737,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=20, pruning_mult=0.75, pruning_prob=1.000, epsilon=0.120, leaf_size=24)",10,0.79746,0.90147,0.99999,0.09016220465154436,1110.8560029482958,0.8950233459472656,0.9756088256835938,1.0271143913269045,1.1672990322113042,0.0,583.412757396698,10.0,2324300.0,2092.3503980994224,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=60, pruning_mult=3.00, pruning_prob=0.000, epsilon=0.200, leaf_size=48)",10,0.9997299999999999,1.0,1.0,0.08935463730902271,359.49374127675895,2.6061534881591797,4.578614234924316,5.68730115890503,7.092483520507814,0.0,3028.551816225052,10.0,3445360.0,9583.92206708145,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=40, pruning_mult=2.00, pruning_prob=0.000, epsilon=0.200, leaf_size=36)",10,0.99821,0.9999,1.0,0.08935789007443376,559.912114319733,1.8030405044555664,2.7783393859863272,3.3702874183654785,4.114159107208254,0.0,1219.9205946922302,10.0,2582508.0,4612.345284112358,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=20, pruning_mult=0.75, pruning_prob=1.000, epsilon=0.100, leaf_size=24)",10,0.76127,0.8681599999999999,0.9998799999999999,0.0903774306843017,1131.3605963742548,0.8862018585205078,0.9593963623046875,1.0077953338623047,1.081481695175174,0.0,583.412757396698,10.0,2324300.0,2054.4289835166933,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=40, pruning_mult=2.00, pruning_prob=1.000, epsilon=0.240, leaf_size=36)",10,0.98877,0.99889,1.0,0.08938148967514671,652.7763113596386,2.117156982421875,3.0308127403259273,3.6344647407531743,4.335430145263677,0.0,1725.260529756546,10.0,2581636.0,3954.8555225952146,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=20, pruning_mult=0.75, pruning_prob=1.000, epsilon=0.200, leaf_size=24)",10,0.91196,0.9784200000000001,1.0,0.08963836948827407,987.1868480278806,0.9996891021728516,1.1952042579650877,1.3260841369628906,1.492745399475099,0.0,583.412757396698,10.0,2324300.0,2354.468158326149,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=40, pruning_mult=2.00, pruning_prob=1.000, epsilon=0.280, leaf_size=36)",10,0.9955999999999999,0.9996,1.0,0.08936429892587601,414.8399429785768,2.301812171936035,3.6287426948547363,4.566736221313478,5.547528266906739,0.0,1725.260529756546,10.0,2581636.0,6223.209803433323,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=60, pruning_mult=2.00, pruning_prob=0.000, epsilon=0.080, leaf_size=48)",10,0.9835,0.99813,0.9999,0.08939922625189625,475.0269187892973,2.0922422409057617,2.5815963745117188,2.833182811737062,3.117835998535164,0.0,2936.2787618637085,10.0,2932680.0,6173.713286553383,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=60, pruning_mult=2.00, pruning_prob=0.000, epsilon=0.240, leaf_size=48)",10,0.9999,0.99999,1.0,0.08935412925316359,304.53199710641513,3.0565261840820312,5.71237802505493,7.441122531890871,9.492205858230601,0.0,2936.2787618637085,10.0,2932680.0,9630.121064011573,sift-128-euclidean
nndescent,"NNDescent(n_neighbors=40, pruning_mult=1.00, pruning_prob=0.000, epsilon=0.020, leaf_size=36)",10,0.73559,0.83111,0.99817,0.09082003946968961,1058.3608369871765,0.9431838989257812,1.0128140449523924,1.0573863983154297,1.225711584091187,0.0,1217.2348673343658,10.0,2269596.0,2144.44442829237,sift-128-euclidean
